Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2020-10-14,9.6,9.66,9.29,9.34,13652600.0,9.47,9.89,9.95,0.37,0.47,0.39,0.3,0.26,0.41,0.15,0.18,21847200.0,20623600.0,19653500.0,9.687,9.728,9.706,-0.013822666817541972,0
2020-10-15,9.27,9.91,9.18,9.91,12924100.0,9.34,9.47,9.89,0.73,0.37,0.47,0.39,-0.64,0.26,0.41,0.15,13652600.0,21847200.0,20623600.0,9.513,9.612,9.638,0.059238064366746855,1
2020-10-16,9.94,9.95,9.66,9.71,11142500.0,9.91,9.34,9.47,0.29,0.73,0.37,0.47,0.23,-0.64,0.26,0.41,12924100.0,13652600.0,21847200.0,9.712,9.701,9.687,-0.020388046712670152,0
2020-10-19,9.79,9.82,9.53,9.57,9126400.0,9.71,9.91,9.34,0.29,0.29,0.73,0.37,0.22,0.23,-0.64,0.26,11142500.0,12924100.0,13652600.0,9.711,9.703,9.691,-0.014523112655794937,0
2020-10-20,9.6,9.66,9.27,9.27,11138200.0,9.57,9.71,9.91,0.39,0.29,0.29,0.73,0.33,0.22,0.23,-0.64,9126400.0,11142500.0,12924100.0,9.64,9.664,9.67,-0.03184974461710913,0
2020-10-21,9.3,9.48,9.2,9.2,9190000.0,9.27,9.57,9.71,0.28,0.39,0.29,0.29,0.1,0.33,0.22,0.23,11138200.0,9126400.0,11142500.0,9.455,9.548,9.601,-0.007579965636012906,0
2020-10-22,9.37,9.75,9.22,9.68,17928600.0,9.2,9.27,9.57,0.53,0.28,0.39,0.29,-0.31,0.1,0.33,0.22,9190000.0,11138200.0,9126400.0,9.328,9.446,9.533,0.05085846949196477,1
2020-10-23,9.71,9.83,9.47,9.49,12618000.0,9.68,9.2,9.27,0.36,0.53,0.28,0.39,0.22,-0.31,0.1,0.33,17928600.0,9190000.0,11138200.0,9.504,9.515,9.558,-0.019823344311285077,0
2020-10-26,9.72,9.97,9.6,9.95,23767300.0,9.49,9.68,9.2,0.37,0.36,0.53,0.28,-0.23,0.22,-0.31,0.1,12618000.0,17928600.0,9190000.0,9.497,9.507,9.547,0.04733394349754437,1
2020-10-27,10.0,11.04,9.92,10.95,53695900.0,9.95,9.49,9.68,1.12,0.37,0.36,0.53,-0.95,-0.23,0.22,-0.31,23767300.0,12618000.0,17928600.0,9.723,9.637,9.613,0.09576690684263253,1
2020-10-28,10.66,10.985,10.1,10.85,30941700.0,10.95,9.95,9.49,0.885,1.12,0.37,0.36,-0.19,-0.95,-0.23,0.22,53695900.0,23767300.0,12618000.0,10.337,10.022,9.833,-0.009174323698832587,0
2020-10-29,10.9,11.1,10.56,10.75,20515700.0,10.85,10.95,9.95,0.54,0.885,1.12,0.37,0.15,-0.19,-0.95,-0.23,30941700.0,53695900.0,23767300.0,10.593,10.265,9.999,-0.009259360571296225,0
